Age,Gender,Year_of_Study,Monthly_Income_AED,Living,Transport_Mode,Order_Frequency,Order_Time,Preferred_Cuisines,Choice_Factors,Accept_Delay_for_Freshness,Uses_Apps,Used_Apps,Satisfaction_Score,Multi_Restaurant_Order,Willing_to_Wait_for_Fresh_Food,Max_Willingness_to_Pay_AED,Wants_Personal_Suggestions,Likes_Bundle_Deals,Cares_About_Sustainability,Empathy_Preference,Biggest_Frustration,Common_Problems,Sustainable_Rewards,Loyalty_Likelihood
23,Male,1st Year,1196,On-campus,Ride-hailing,6+,Dinner,"Indian, Others, Italian","Price, Quality",Yes,Yes,"Talabat, Others, Uber Eats",5,Yes,Yes,18,No,No,Yes,Yes,Late delivery,"Limited variety, Cold food, Late delivery",Maybe,2
21,Male,1st Year,1605,On-campus,Personal Vehicle,1-2,Varies,Chinese,"Sustainability, Reviews",Yes,Yes,Uber Eats,2,Maybe,No,26,Maybe,No,Yes,Yes,No tracking,Cold food,Maybe,5
23,Female,1st Year,2100,Off-campus,Public Transport,0,Breakfast,Others,"Variety, Price, Quality",Yes,Yes,Others,1,Yes,Maybe,34,Maybe,Yes,Yes,Yes,High prices,"Limited variety, High price",Maybe,2
25,Female,2nd Year,1254,On-campus,Walk,1-2,Dinner,Others,"Variety, Price, Speed",Maybe,Yes,"Uber Eats, Others",4,Yes,Maybe,25,No,Yes,Yes,No,Late delivery,"Poor packaging, Cold food, High price",Maybe,5
21,Male,4th Year,561,On-campus,Bike,3-5,Late night,"Healthy, Indian, Fast Food","Reviews, Variety",Yes,No,None,2,Yes,Yes,34,No,Yes,No,Doesn’t matter,High prices,"Limited variety, Late delivery, Cold food",Maybe,4
21,Non-binary,3rd Year,1809,On-campus,Public Transport,1-2,Varies,Indian,"Speed, Quality",No,Yes,"Talabat, Zomato, Uber Eats",1,Yes,Yes,31,No,Yes,Somewhat,No,High prices,"Limited variety, High price, Poor packaging",Yes,3
25,Male,3rd Year,1182,Off-campus,Public Transport,1-2,Lunch,Chinese,"Quality, Variety, Speed",No,Yes,"Others, Zomato, Talabat",4,Maybe,Yes,14,Maybe,Yes,No,Doesn’t matter,No tracking,"Limited variety, High price, Late delivery",Maybe,2
23,Female,2nd Year,2715,Off-campus,Walk,6+,Breakfast,Healthy,"Speed, Variety",No,Yes,"Zomato, Talabat",1,Maybe,No,31,No,Maybe,No,Doesn’t matter,Limited menu,Late delivery,Yes,5
20,Female,Postgraduate,1187,Off-campus,Ride-hailing,6+,Late night,"Indian, Healthy, Chinese","Variety, Quality, Reviews",Yes,Yes,Uber Eats,4,Maybe,Yes,31,Maybe,No,No,No,High prices,Late delivery,Maybe,2
23,Female,2nd Year,1407,On-campus,Bike,1-2,Dinner,"Others, Healthy, Fast Food","Quality, Reviews",No,Yes,"Zomato, Uber Eats",4,Maybe,Yes,42,Yes,Maybe,Somewhat,No,High prices,"Poor packaging, Cold food",Yes,3
20,Female,1st Year,1197,Off-campus,Public Transport,1-2,Lunch,Fast Food,"Reviews, Variety",Yes,Yes,Others,4,Yes,Yes,29,Yes,No,Yes,Yes,No tracking,Poor packaging,No,4
20,Female,3rd Year,397,Off-campus,Personal Vehicle,3-5,Breakfast,"Italian, Indian, Chinese","Variety, Price",Yes,Yes,"Others, Uber Eats",1,Maybe,Yes,12,Yes,Maybe,Yes,Doesn’t matter,Cold food,"Poor packaging, Limited variety, Cold food",Maybe,1
22,Male,1st Year,1948,On-campus,Public Transport,6+,Varies,"Fast Food, Italian, Healthy","Quality, Price",No,Yes,"Zomato, Others, Uber Eats",4,Maybe,Yes,19,No,Maybe,Somewhat,Yes,No tracking,"Late delivery, Cold food, Limited variety",No,1
18,Female,2nd Year,2137,Off-campus,Bike,3-5,Lunch,Chinese,"Quality, Sustainability, Variety",No,Yes,Zomato,2,Yes,Yes,10,Maybe,Maybe,Somewhat,Yes,High prices,"Limited variety, High price",No,2
18,Male,3rd Year,1825,On-campus,Public Transport,3-5,Lunch,"Indian, Others","Variety, Quality, Reviews",Yes,Yes,Talabat,5,Yes,No,30,No,Yes,Yes,No,No tracking,"Cold food, Late delivery, Poor packaging",No,5
20,Female,4th Year,931,Off-campus,Walk,1-2,Late night,"Indian, Italian","Quality, Reviews",Maybe,No,None,5,Yes,Yes,41,Maybe,No,No,Yes,High prices,Poor packaging,Maybe,3
19,Female,2nd Year,1399,Off-campus,Public Transport,3-5,Breakfast,"Healthy, Italian","Variety, Quality",Yes,Yes,"Uber Eats, Talabat",4,Yes,Yes,10,No,Yes,Yes,Yes,Late delivery,Limited variety,No,4
22,Female,4th Year,1496,Off-campus,Public Transport,3-5,Late night,Others,"Variety, Quality",Yes,Yes,"Others, Zomato, Uber Eats",5,Yes,Maybe,41,Yes,Yes,Somewhat,Yes,Cold food,"Late delivery, Limited variety, High price",Yes,4
19,Female,Postgraduate,1799,On-campus,Personal Vehicle,3-5,Late night,"Healthy, Indian","Reviews, Variety, Speed",Yes,Yes,"Uber Eats, Talabat, Others",5,Maybe,Maybe,29,Maybe,Maybe,Yes,No,Late delivery,"Poor packaging, Limited variety, Late delivery",Maybe,4
18,Female,1st Year,1834,Off-campus,Walk,0,Dinner,"Indian, Healthy","Variety, Quality, Reviews",No,Yes,"Uber Eats, Zomato",4,Maybe,Yes,14,No,No,Yes,Yes,Late delivery,"Poor packaging, Late delivery, Limited variety",No,1
25,Female,2nd Year,1132,Off-campus,Walk,6+,Varies,"Others, Healthy","Price, Sustainability, Speed",No,Yes,"Zomato, Uber Eats, Talabat",4,Yes,Yes,27,Maybe,No,Yes,Yes,Cold food,"Late delivery, Cold food, High price",Maybe,3
21,Female,2nd Year,1540,Off-campus,Public Transport,3-5,Lunch,"Healthy, Chinese","Reviews, Sustainability",Yes,Yes,Uber Eats,2,Yes,No,14,Maybe,No,Somewhat,No,Late delivery,"Cold food, Late delivery, High price",No,1
22,Male,2nd Year,1728,Off-campus,Personal Vehicle,1-2,Breakfast,"Indian, Others, Chinese","Reviews, Variety",Yes,Yes,Uber Eats,3,Maybe,Yes,29,No,No,Somewhat,No,Limited menu,"High price, Late delivery",Yes,2
18,Male,2nd Year,2227,On-campus,Public Transport,3-5,Varies,"Indian, Chinese","Variety, Quality",No,Yes,"Zomato, Others, Talabat",1,No,Yes,25,No,Yes,Yes,No,Late delivery,Cold food,Maybe,4
20,Male,Postgraduate,1852,On-campus,Public Transport,3-5,Varies,Fast Food,"Variety, Reviews",Yes,Yes,Uber Eats,4,Yes,Yes,28,Maybe,Yes,Yes,Doesn’t matter,High prices,"Cold food, Poor packaging, Late delivery",Maybe,3
22,Male,4th Year,1894,Off-campus,Bike,3-5,Breakfast,"Fast Food, Italian","Reviews, Quality",Yes,Yes,Talabat,4,No,Yes,15,Maybe,No,No,No,Cold food,"High price, Late delivery, Limited variety",No,4
19,Female,3rd Year,1541,Off-campus,Bike,3-5,Varies,Italian,"Quality, Speed",No,Yes,"Others, Uber Eats",5,Maybe,Yes,17,Yes,Yes,No,Doesn’t matter,No tracking,Poor packaging,Yes,1
22,Male,2nd Year,2205,Off-campus,Personal Vehicle,3-5,Dinner,"Chinese, Italian","Variety, Price, Reviews",Yes,Yes,"Others, Talabat",2,Maybe,Maybe,30,Maybe,No,Yes,No,High prices,"High price, Cold food",Maybe,1
20,Prefer not to say,4th Year,1704,On-campus,Ride-hailing,6+,Varies,"Others, Indian, Chinese","Sustainability, Variety, Reviews",Maybe,Yes,"Others, Uber Eats",5,Yes,No,19,Yes,Yes,Somewhat,No,Limited menu,"Late delivery, Cold food",No,1
21,Male,Postgraduate,1069,Off-campus,Bike,0,Dinner,"Others, Chinese, Healthy","Quality, Sustainability",Yes,Yes,Talabat,4,Yes,Yes,26,Yes,Maybe,No,No,Cold food,"Late delivery, High price",Yes,4
20,Male,4th Year,2201,On-campus,Ride-hailing,1-2,Lunch,"Fast Food, Italian","Price, Speed",No,Yes,"Talabat, Zomato",4,Maybe,Yes,29,Yes,Maybe,Yes,Doesn’t matter,Late delivery,"Poor packaging, Limited variety, Late delivery",Yes,3
26,Female,1st Year,1848,Off-campus,Walk,1-2,Lunch,"Others, Healthy, Chinese","Speed, Sustainability, Price",Yes,Yes,"Others, Talabat, Uber Eats",5,Yes,No,22,Maybe,No,No,Yes,Late delivery,"Limited variety, High price, Poor packaging",Yes,3
21,Female,3rd Year,1278,Off-campus,Bike,3-5,Late night,"Italian, Indian, Chinese","Quality, Variety, Price",Maybe,Yes,Uber Eats,4,No,Yes,36,Yes,No,No,No,High prices,"Poor packaging, Cold food",Yes,2
